"File","Lines","Template","Script","Style","OnMounted","Loading","TryCatch","Pagination","Validation","I18n","Aria","Responsive","Dark","Virtual","Test","Router","Store","Api","NaiveUI","Placeholders","TODOs"
"AgentManagement.vue","136","True","True","True","True","True","True","True","True","False","False","False","False","False",,"False","False","True","True","2","0"
"Annotation.vue","13","True","True","False","False","False","False","False","False","False","False","False","False","False",,"False","False","False","True","0","0"
"AnnotationManagement.vue","141","True","True","True","True","True","True","True","True","False","False","False","False","False",,"False","False","True","True","1","0"
"AssetManagement.vue","179","True","True","True","True","True","True","True","True","False","False","False","False","False",,"False","False","True","True","1","0"
"Billing.vue","12","True","True","False","False","False","False","False","False","False","False","False","False","False",,"False","False","False","True","0","0"
"CanvasDesigner.vue","179","True","True","True","False","True","True","False","False","False","False","False","False","False",,"False","False","True","True","1","0"
"CleaningManagement.vue","128","True","True","True","True","True","True","True","True","False","False","False","False","False",,"False","False","True","True","1","0"
"Dashboard.vue","214","True","True","True","True","True","True","True","False","False","False","True","False","False",,"False","False","False","True","0","0"
"Dataset.vue","22","True","True","False","False","False","False","False","False","False","False","False","False","False",,"False","False","False","True","0","0"
"DatasetManagement.vue","135","True","True","True","True","True","True","True","True","False","False","False","False","False",,"False","False","True","True","2","0"
"Engines.vue","12","True","True","False","False","False","False","False","False","False","False","False","False","False",,"False","False","False","True","0","0"
"EvaluationManagement.vue","132","True","True","True","True","True","True","True","True","False","False","False","False","False",,"False","False","True","True","1","0"
"Login.vue","139","True","True","True","False","True","True","False","True","False","False","False","False","False",,"False","True","False","True","2","0"
"Monitoring.vue","12","True","True","False","False","False","False","False","False","False","False","False","False","False",,"False","False","False","True","0","0"
"NotificationManagement.vue","156","True","True","True","True","True","True","True","True","False","False","False","False","False",,"False","False","True","True","1","0"
"Review.vue","12","True","True","False","False","False","False","False","False","False","False","False","False","False",,"False","False","False","True","0","0"
"Scoring.vue","12","True","True","False","False","False","False","False","False","False","False","False","False","False",,"False","False","False","True","0","0"
"ScoringManagement.vue","131","True","True","True","True","True","True","True","True","False","False","False","False","False",,"False","False","True","True","1","0"
"SearchManagement.vue","124","True","True","True","True","True","True","True","False","False","False","True","False","False",,"True","False","True","True","2","0"
"Settings.vue","12","True","True","False","False","False","False","False","False","False","False","False","False","False",,"False","False","False","True","0","0"
"Tasks.vue","12","True","True","False","False","False","False","False","False","False","False","False","False","False",,"False","False","False","True","0","0"
"UserManagement.vue","192","True","True","True","True","True","True","True","True","False","False","False","False","False",,"False","False","True","True","4","0"
"Users.vue","12","True","True","False","False","False","False","False","False","False","False","False","False","False",,"False","False","False","True","0","0"
"WorkflowManagement.vue","135","True","True","True","True","True","True","True","True","False","False","False","False","False",,"False","False","True","True","1","0"
"Workflows.vue","76","True","True","True","False","False","False","False","False","False","False","False","False","False",,"False","False","False","True","0","0"
"MultimodalChat.vue","334","True","True","True","True","True","True","False","False","False","False","False","False","False",,"False","False","True","True","1","0"
"CharacterManager.vue","131","True","True","True","True","False","False","False","False","False","False","True","False","False",,"False","False","False","True","2","0"
"ConsistencyReport.vue","115","True","True","True","True","True","True","False","False","False","False","False","False","False",,"False","False","True","True","1","0"
"IterativeStudio.vue","335","True","True","True","True","True","True","False","False","False","False","False","False","False",,"False","False","True","True","4","0"
"MultiAgentPanel.vue","189","True","True","True","True","True","True","False","False","False","False","False","False","False",,"False","False","True","True","0","0"
"StoryboardEditor.vue","463","True","True","True","True","True","True","False","False","False","False","False","False","False",,"False","False","True","True","3","0"
"Dashboard.vue","207","True","True","True","True","False","False","False","False","False","False","False","False","False",,"True","False","False","True","0","0"
"Invoices.vue","101","True","True","True","True","True","False","True","False","False","False","False","False","False",,"False","False","False","True","0","0"
"Orders.vue","97","True","True","True","True","True","True","True","False","False","False","False","False","False",,"False","False","False","True","0","0"
"Pricing.vue","98","True","True","True","True","True","False","False","False","False","False","True","False","False",,"False","False","False","True","0","0"
"Contracts.vue","156","True","True","True","True","True","True","True","False","False","False","False","False","False",,"False","False","False","True","3","0"
"Customers.vue","221","True","True","True","True","True","False","True","False","False","False","False","False","False",,"False","False","False","True","5","0"
"Graph.vue","231","True","True","True","True","True","True","False","False","False","False","False","False","False",,"False","False","True","True","1","0"
"AgentChat.vue","110","True","True","False","True","True","True","False","False","False","False","False","False","False",,"False","False","True","True","2","2"
"EmbedStudio.vue","125","True","True","False","True","True","True","False","False","False","False","False","False","False",,"False","False","True","True","5","2"
"Parser.vue","131","True","True","False","True","True","True","False","False","False","False","False","False","False",,"False","False","True","True","4","4"
"SearchRAG.vue","112","True","True","False","False","True","True","False","False","False","False","False","False","False",,"False","False","True","True","3","5"
"KnowledgeGraph.vue","261","True","True","True","True","True","True","True","False","False","False","False","False","False",,"True","False","True","True","1","0"
"WikiEdit.vue","292","True","True","True","True","True","True","False","False","False","False","False","False","False",,"True","False","True","True","3","0"
"WikiList.vue","126","True","True","True","True","True","True","False","False","False","False","False","False","False",,"True","False","True","True","2","0"
"Marketplace.vue","344","True","True","True","True","True","True","False","False","False","False","False","False","False",,"False","False","True","True","2","0"
"Orchestrator.vue","448","True","True","True","True","True","True","False","False","False","False","False","False","False",,"False","False","True","True","1","0"
"Tickets.vue","295","True","True","True","True","True","False","True","False","False","False","False","False","False",,"False","False","False","True","3","0"
"DirectorStudio.vue","133","True","True","True","True","True","True","False","False","False","False","False","False","False",,"False","False","True","True","2","0"
"OperatorMarket.vue","97","True","True","True","True","False","True","False","False","False","False","False","False","False",,"False","False","True","True","2","0"
"RunMonitor.vue","152","True","True","True","True","True","True","False","False","False","False","False","False","False",,"False","False","True","True","1","0"
"VisualEditor.vue","558","True","True","True","True","True","True","False","False","False","False","False","False","False",,"False","False","True","True","3","0"
